timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686050348708,459,Acessar Site,200,OK,Usuários Carga 1-1,text,true,,4757,119,39,39,https://www.blazedemo.com/,447,0,174
1686050348756,418,Acessar Site,200,OK,Usuários Carga 1-5,text,true,,4757,119,39,39,https://www.blazedemo.com/,404,0,160
1686050348732,457,Acessar Site,200,OK,Usuários Carga 1-3,text,true,,4757,119,41,41,https://www.blazedemo.com/,444,0,159
1686050348744,445,Acessar Site,200,OK,Usuários Carga 1-4,text,true,,4757,119,41,41,https://www.blazedemo.com/,432,0,164
1686050348769,489,Acessar Site,200,OK,Usuários Carga 1-6,text,true,,4757,119,46,46,https://www.blazedemo.com/,478,0,162
1686050348721,531,Acessar Site,200,OK,Usuários Carga 1-2,text,true,,4757,119,46,46,https://www.blazedemo.com/,519,0,167
1686050348817,483,Acessar Site,200,OK,Usuários Carga 1-10,text,true,,4757,119,50,50,https://www.blazedemo.com/,470,0,167
1686050348781,525,Acessar Site,200,OK,Usuários Carga 1-7,text,true,,4757,119,50,50,https://www.blazedemo.com/,512,0,168
1686050348840,479,Acessar Site,200,OK,Usuários Carga 1-12,text,true,,4757,119,51,51,https://www.blazedemo.com/,466,0,166
1686050348866,495,Acessar Site,200,OK,Usuários Carga 1-14,text,true,,4757,119,55,55,https://www.blazedemo.com/,484,0,168
1686050348852,512,Acessar Site,200,OK,Usuários Carga 1-13,text,true,,4757,119,55,55,https://www.blazedemo.com/,501,0,165
1686050348792,581,Acessar Site,200,OK,Usuários Carga 1-8,text,true,,4757,119,56,56,https://www.blazedemo.com/,469,0,159
1686050348984,416,Acessar Site,200,OK,Usuários Carga 1-24,text,true,,4757,119,58,58,https://www.blazedemo.com/,404,0,159
1686050348829,579,Acessar Site,200,OK,Usuários Carga 1-11,text,true,,4757,119,59,59,https://www.blazedemo.com/,566,0,165
1686050348948,489,Acessar Site,200,OK,Usuários Carga 1-21,text,true,,4757,119,61,61,https://www.blazedemo.com/,464,0,168
